time,q1,q2,q3,q4,q5,q6,q7
12.9,0.792057,-0.446676,-0.0629375,1.6749,0.433709,0.587473,-0.339881
13,0.795257,-0.443347,-0.0640597,1.67533,0.439167,0.585469,-0.344824
13.1,0.798479,-0.440029,-0.0651959,1.67574,0.444687,0.583468,-0.349836
13.2,0.80172,-0.436721,-0.0663442,1.67613,0.450261,0.581472,-0.354911
13.3,0.804978,-0.433426,-0.0675042,1.67648,0.455889,0.579481,-0.360048
13.4,0.808253,-0.430144,-0.0686755,1.67681,0.461571,0.577497,-0.365248
13.5,0.811544,-0.426874,-0.0698573,1.67712,0.467304,0.57552,-0.370507
13.6,0.814853,-0.423619,-0.0710506,1.6774,0.473094,0.57355,-0.375833
13.7,0.818177,-0.420377,-0.0722544,1.67765,0.478938,0.571589,-0.381222
13.8,0.821518,-0.417149,-0.0734683,1.67787,0.484838,0.569638,-0.386677
13.9,0.824874,-0.413934,-0.0746922,1.67807,0.490793,0.567696,-0.392196
14,0.828246,-0.410734,-0.0759256,1.67824,0.496803,0.565764,-0.397781
14.1,0.831633,-0.407547,-0.0771682,1.67839,0.50287,0.563843,-0.403432
14.2,0.835035,-0.404375,-0.0784198,1.6785,0.508994,0.561933,-0.40915
14.3,0.838451,-0.401217,-0.0796798,1.6786,0.515175,0.560036,-0.414936
14.4,0.841692,-0.398249,-0.0808776,1.67866,0.521066,0.558255,-0.420465
14.5,0.845212,-0.395048,-0.0821807,1.6787,0.527496,0.556341,-0.426511
14.6,0.84892,-0.391707,-0.0835562,1.67872,0.534306,0.554346,-0.432932
14.7,0.852338,-0.388658,-0.0848266,1.6787,0.540622,0.552532,-0.438903
14.8,0.855787,-0.385608,-0.0861094,1.67866,0.547028,0.550724,-0.444972
14.9,0.859263,-0.382557,-0.0874035,1.67859,0.553518,0.548923,-0.451136
15,0.862763,-0.379511,-0.0887073,1.6785,0.560092,0.547132,-0.457395
15.1,0.86628,-0.376477,-0.0900176,1.67838,0.566735,0.545357,-0.463735
15.2,0.870007,-0.373287,-0.0914056,1.67822,0.573812,0.543499,-0.470504
15.3,0.873467,-0.370351,-0.0926944,1.67805,0.580428,0.5418,-0.476848
15.4,0.876774,-0.367568,-0.0939248,1.67786,0.586788,0.540199,-0.482959
15.5,0.880587,-0.36438,-0.0953418,1.67762,0.59416,0.538376,-0.490059
15.6,0.88392,-0.361618,-0.0965787,1.67738,0.600649,0.536809,-0.496324
15.7,0.887749,-0.358467,-0.0979969,1.67709,0.608146,0.535032,-0.503577
15.8,0.891292,-0.355576,-0.0993064,1.67678,0.615133,0.533417,-0.510354
15.9,0.894857,-0.352689,-0.10062,1.67645,0.622209,0.531819,-0.517232
16,0.898443,-0.349805,-0.101938,1.67609,0.629376,0.530236,-0.524214
16.1,0.902045,-0.34693,-0.103256,1.67571,0.63662,0.528675,-0.531288
16.2,0.905856,-0.343907,-0.104646,1.67528,0.644338,0.52705,-0.538839
16.3,0.90939,-0.341126,-0.105929,1.67484,0.65155,0.525573,-0.545913
16.4,0.912761,-0.338491,-0.107147,1.67441,0.658478,0.524191,-0.552723
16.5,0.916437,-0.335633,-0.108468,1.67391,0.666081,0.522709,-0.56021
16.6,0.920108,-0.332799,-0.109778,1.67339,0.673732,0.521261,-0.567763
16.7,0.923966,-0.329839,-0.111147,1.67281,0.681832,0.51977,-0.575775
16.8,0.927523,-0.327129,-0.1124,1.67225,0.689367,0.518427,-0.583245
16.9,0.930908,-0.324565,-0.113582,1.67169,0.696589,0.517179,-0.590421
17,0.934796,-0.321633,-0.11493,1.67102,0.704945,0.515774,-0.598739
17.1,0.938182,-0.319097,-0.116092,1.67042,0.712285,0.514584,-0.606063
17.2,0.941854,-0.316359,-0.117341,1.66973,0.720304,0.513322,-0.61408
17.3,0.945516,-0.313643,-0.118573,1.66902,0.728369,0.512097,-0.622159
17.4,0.949155,-0.310957,-0.119783,1.66829,0.736451,0.510913,-0.630273
17.5,0.952777,-0.308297,-0.120973,1.66753,0.744566,0.509769,-0.638437
17.6,0.956387,-0.305658,-0.122144,1.66674,0.752725,0.508664,-0.646661
17.7,0.960187,-0.302893,-0.123358,1.66589,0.761387,0.507538,-0.655412
17.8,0.96369,-0.300355,-0.12446,1.66507,0.769455,0.506538,-0.66358
17.9,0.967214,-0.297812,-0.125549,1.66421,0.777642,0.505567,-0.671885
18,0.970555,-0.295408,-0.126564,1.66338,0.785473,0.504681,-0.679846
18.1,0.974373,-0.292668,-0.127705,1.6624,0.7945,0.503703,-0.689038
18.2,0.977875,-0.290165,-0.128728,1.66147,0.802865,0.502848,-0.697576
18.3,0.981372,-0.287673,-0.129727,1.6605,0.8113,0.502033,-0.706201
18.4,0.984866,-0.285188,-0.130704,1.65951,0.81981,0.501256,-0.714921
18.5,0.988352,-0.282715,-0.131653,1.65849,0.828381,0.500521,-0.723721
18.6,0.991824,-0.280257,-0.132576,1.65745,0.837001,0.499826,-0.732587
18.7,0.995279,-0.277815,-0.133466,1.65637,0.84567,0.499178,-0.741522
18.8,0.998908,-0.275256,-0.134374,1.65521,0.854862,0.498539,-0.751014
18.9,1.00224,-0.272907,-0.135179,1.65411,0.863407,0.497998,-0.759857
19,1.00559,-0.270554,-0.135958,1.65297,0.872062,0.497497,-0.768831
19.1,1.00893,-0.268203,-0.136708,1.6518,0.88081,0.497039,-0.777919
19.2,1.01227,-0.265859,-0.137424,1.6506,0.889623,0.496626,-0.787091
19.3,1.01558,-0.263529,-0.138105,1.64937,0.898483,0.49626,-0.79633
19.4,1.01888,-0.261215,-0.138748,1.64811,0.90738,0.495942,-0.805625
19.5,1.02215,-0.258917,-0.139355,1.64683,0.916306,0.49567,-0.814967
19.6,1.02539,-0.256636,-0.139923,1.64552,0.925258,0.495448,-0.824354
19.7,1.02861,-0.254375,-0.140447,1.64418,0.934234,0.495279,-0.833786
19.8,1.0318,-0.252132,-0.140931,1.64281,0.94323,0.49516,-0.843256
19.9,1.03496,-0.249907,-0.141372,1.64142,0.952242,0.495093,-0.852761
20,1.03809,-0.247701,-0.14177,1.64001,0.961268,0.495076,-0.862298
20.1,1.04119,-0.245514,-0.142124,1.63856,0.970306,0.495111,-0.871867
20.2,1.04425,-0.243345,-0.142435,1.63709,0.979354,0.495198,-0.881463
20.3,1.04729,-0.241196,-0.142702,1.6356,0.988408,0.495337,-0.891084
20.4,1.05046,-0.238947,-0.142936,1.63399,0.997971,0.495539,-0.901264
20.5,1.05335,-0.236887,-0.143106,1.63247,1.00682,0.495779,-0.910702
20.6,1.05625,-0.234827,-0.143234,1.63092,1.01574,0.496073,-0.920239
20.7,1.05912,-0.232771,-0.143318,1.62933,1.02473,0.496419,-0.929859
20.8,1.06214,-0.230613,-0.143362,1.62762,1.03424,0.496838,-0.940061
20.9,1.0649,-0.228633,-0.143354,1.62601,1.04306,0.497283,-0.949532
21,1.06766,-0.226652,-0.143301,1.62436,1.05195,0.497783,-0.959103
21.1,1.07055,-0.224566,-0.143201,1.62257,1.06139,0.498366,-0.969282
21.2,1.0732,-0.222648,-0.143059,1.62088,1.07014,0.498964,-0.978746
21.3,1.07585,-0.220729,-0.142873,1.61915,1.07898,0.499618,-0.988311
21.4,1.07849,-0.218813,-0.14264,1.61738,1.08787,0.500328,-0.997951
21.5,1.08111,-0.216908,-0.142363,1.61558,1.09677,0.501092,-1.00763
21.6,1.0837,-0.215019,-0.142043,1.61375,1.10568,0.501906,-1.01732
21.7,1.08626,-0.213149,-0.141677,1.61189,1.11456,0.502775,-1.02701
21.8,1.08892,-0.211194,-0.141246,1.60989,1.12392,0.503744,-1.03723
21.9,1.09122,-0.209507,-0.140826,1.60812,1.13207,0.504643,-1.04615
