time,q1,q2,q3,q4,q5,q6,q7
15.6,0.846224,-0.347724,-0.0642653,1.72629,0.499804,0.569928,-0.40739
15.7,0.849037,-0.344795,-0.0648906,1.72626,0.504656,0.568422,-0.412191
15.8,0.852027,-0.341692,-0.0655543,1.72621,0.509843,0.566832,-0.417335
15.9,0.854823,-0.338814,-0.0661695,1.72614,0.514712,0.565365,-0.422176
16,0.857649,-0.335915,-0.0667901,1.72605,0.519659,0.563893,-0.427105
16.1,0.860499,-0.333005,-0.0674142,1.72594,0.524677,0.562419,-0.432115
16.2,0.863366,-0.330095,-0.0680391,1.72581,0.529752,0.560951,-0.437191
16.3,0.866245,-0.327191,-0.0686631,1.72566,0.534875,0.559493,-0.442326
16.4,0.869293,-0.324135,-0.0693194,1.72548,0.540327,0.557966,-0.447802
16.5,0.872288,-0.321162,-0.0699555,1.72526,0.545705,0.556492,-0.453217
16.6,0.874935,-0.318552,-0.0705109,1.72505,0.550478,0.555209,-0.458034
16.7,0.877664,-0.315858,-0.0710852,1.72483,0.555436,0.553887,-0.463046
16.8,0.880783,-0.31279,-0.0717404,1.72455,0.561141,0.552384,-0.468821
16.9,0.883513,-0.310137,-0.0723031,1.72428,0.566154,0.551098,-0.473908
17,0.886462,-0.307278,-0.0729091,1.72397,0.571607,0.549718,-0.479451
17.1,0.889403,-0.304448,-0.0735058,1.72363,0.577073,0.548363,-0.485018
17.2,0.892334,-0.301647,-0.0740928,1.72327,0.58255,0.547033,-0.490606
17.3,0.895259,-0.298867,-0.0746714,1.72289,0.588043,0.545724,-0.496223
17.4,0.898179,-0.296108,-0.0752413,1.72249,0.593558,0.544436,-0.501872
17.5,0.901258,-0.293214,-0.0758338,1.72204,0.599405,0.543099,-0.507875
17.6,0.904115,-0.290551,-0.0763711,1.72159,0.604859,0.541885,-0.513487
17.7,0.906985,-0.287883,-0.0769039,1.72113,0.610371,0.54068,-0.51917
17.8,0.909867,-0.285212,-0.0774314,1.72065,0.615941,0.539487,-0.524923
17.9,0.912755,-0.282547,-0.0779521,1.72014,0.621556,0.538308,-0.530734
18,0.915808,-0.279744,-0.0784928,1.71958,0.627529,0.537083,-0.536925
18.1,0.918647,-0.277161,-0.0789812,1.71903,0.633109,0.535971,-0.542723
18.2,0.921499,-0.274571,-0.0794634,1.71846,0.638755,0.534871,-0.548599
18.3,0.924364,-0.271979,-0.0799384,1.71787,0.644461,0.533783,-0.554549
18.4,0.927234,-0.269392,-0.0804047,1.71726,0.650215,0.532711,-0.560558
