time,q1_dot,q2_dot,q3_dot,q4_dot,q5_dot,q6_dot,q7_dot
21.5,0.0280911,0.0224389,0.00122192,-0.0144663,0.0699624,-0.00242912,-0.0770726
21.6,0.0280906,0.022425,0.00146142,-0.0147238,0.0704722,-0.00213465,-0.0777445
21.7,0.0280481,0.0223513,0.0017069,-0.0149906,0.0708707,-0.00182786,-0.0782961
21.8,0.0274053,0.0216954,0.00196275,-0.0150914,0.0696322,-0.00144187,-0.0770917
21.9,0.0269185,0.0212326,0.00220923,-0.0151873,0.068791,-0.00108497,-0.0763141
22,0.0270873,0.0213956,0.00245593,-0.0154828,0.0697454,-0.000799973,-0.0774654
22.1,0.0266118,0.0209149,0.00269826,-0.0156095,0.0689156,-0.000452621,-0.0766954
22.2,0.0267675,0.0210406,0.00295309,-0.0159314,0.0698362,-0.000156096,-0.0778105
22.3,0.026824,0.0210421,0.00321103,-0.0162583,0.070488,0.000153381,-0.0786358
22.4,0.026263,0.0204566,0.00344247,-0.0163829,0.0693913,0.00049069,-0.0775736
22.5,0.026358,0.0205144,0.00370562,-0.0167037,0.0701394,0.000805084,-0.0785059
22.6,0.024437,-0.0711971,-0.0134418,-0.189955,0.169626,-0.0645556,-0.185306
22.7,0.0284997,-0.0372987,-0.00795586,-0.130527,0.148449,-0.0402389,-0.161494
22.8,0.0302174,-0.012602,-0.00363742,-0.0851194,0.127997,-0.0219958,-0.139031
22.9,0.0308261,0.000528945,-0.00109762,-0.0607373,0.116161,-0.0120802,-0.126236
23,0.0307309,0.00813456,0.000576923,-0.0459349,0.107826,-0.0059739,-0.117326
23.1,0.0303333,0.012534,0.00172558,-0.0368706,0.101949,-0.00211092,-0.111109
23.2,0.0298347,0.015045,0.00255319,-0.0313211,0.0978191,0.000408125,-0.106792
23.3,0.02878,0.0161297,0.00315226,-0.0274142,0.0931512,0.00213311,-0.10188
23.4,0.0284775,0.0169941,0.00367528,-0.0254955,0.0916307,0.00335619,-0.100391
23.5,0.0281737,0.0174235,0.00412783,-0.0244061,0.0905801,0.0042878,-0.0994095
23.6,0.0278685,0.0175833,0.0045363,-0.0238261,0.0898112,0.00504127,-0.098732
23.7,0.0270456,0.0171595,0.00483454,-0.0232968,0.0876674,0.00556259,-0.0965434
23.8,0.0274383,0.0176479,0.00531275,-0.0235189,0.0892162,0.00632407,-0.098405
23.9,0.0266096,0.0170293,0.0055619,-0.0233392,0.0872261,0.00669684,-0.0963776
24,0.0264654,0.0169625,0.0059293,-0.0235098,0.087267,0.00725001,-0.0965827
24.1,0.0262982,0.0168387,0.00628656,-0.0237388,0.0872645,0.00777634,-0.096741
24.2,0.0261042,0.0166661,0.00663294,-0.024002,0.0871927,0.00827939,-0.0968236
24.3,0.0258938,0.0164645,0.00697096,-0.0242832,0.0870688,0.00876755,-0.0968497
24.4,0.0251742,0.01584,0.00716858,-0.0243086,0.0853854,0.00903792,-0.0951476
24.5,0.0251153,0.0157747,0.00753716,-0.0246261,0.0856454,0.00959039,-0.0955996
24.6,0.0245231,0.0152596,0.00774457,-0.0246871,0.0842791,0.00988816,-0.0942453
24.7,0.0245351,0.0152393,0.00812731,-0.0250523,0.0847164,0.0104701,-0.094897
24.8,0.024475,0.0151357,0.0084851,-0.0254277,0.0849501,0.0110073,-0.095325
24.9,0.0238753,0.0145925,0.00865519,-0.0255068,0.0835124,0.0112514,-0.0938879
25,0.0238836,0.0145438,0.00902915,-0.0259,0.0838923,0.0118289,-0.094482
25.1,0.023351,0.0140566,0.00919904,-0.0259906,0.0825965,0.0120855,-0.0932006
25.2,0.0233977,0.0140283,0.00958077,-0.0264092,0.0830493,0.0126858,-0.0938809
25.3,0.0228973,0.0135606,0.00973963,-0.0265119,0.0818059,0.0129339,-0.0926562
25.4,0.022503,0.0131877,0.00992935,-0.0266346,0.0808298,0.0132447,-0.0917301
25.5,0.0226418,0.0132174,0.0103391,-0.0271076,0.0814905,0.0139077,-0.0926517
25.6,0.0222121,0.0127954,0.0104925,-0.0272444,0.0803977,0.0141607,-0.0915944
25.7,0.0223175,0.0127773,0.010882,-0.0277299,0.0809354,0.0147966,-0.0923838
25.8,0.022327,0.0126665,0.0112244,-0.0281975,0.0811942,0.0153534,-0.092862
25.9,0.0222647,0.0124899,0.0115286,-0.0286381,0.0812272,0.0158505,-0.0930872
26,0.022159,0.0122759,0.0118065,-0.02905,0.0811043,0.0163112,-0.093138
26.1,0.0215707,0.0117164,0.0118274,-0.0290738,0.0794296,0.0163726,-0.0914177
26.2,0.0215874,0.0116077,0.0121553,-0.029493,0.0795621,0.0169431,-0.0917624
26.3,0.0211028,0.0111328,0.0122035,-0.0295367,0.0781255,0.0170673,-0.09031
26.4,0.0211765,0.0110589,0.0125506,-0.0299867,0.0783758,0.0176831,-0.0907947
26.5,0.0211752,0.0109133,0.0128512,-0.0304247,0.0784165,0.0182196,-0.0910431
26.6,0.0211158,0.0107147,0.0131129,-0.0308415,0.07828,0.0186935,-0.0910908
26.7,0.0210224,0.0104862,0.0133482,-0.0312353,0.0780217,0.0191294,-0.0910005
26.8,0.0209099,0.0102413,0.0135652,-0.0316085,0.0776793,0.0195417,-0.0908154
26.9,0.0203419,0.00969963,0.0134889,-0.0315483,0.0758819,0.0194875,-0.0889392
27,0.0203775,0.00956684,0.0137805,-0.0319637,0.0758682,0.0200501,-0.0891382
27.1,0.0199246,0.00911219,0.0137488,-0.0319439,0.0743491,0.0200847,-0.0875806
27.2,0.0200263,0.00901385,0.0140695,-0.0324126,0.0744894,0.0207068,-0.087965
27.3,0.0196202,0.00858635,0.014044,-0.0324253,0.0730891,0.0207568,-0.0865432
27.4,0.0197501,0.00849183,0.0143718,-0.0329328,0.0732847,0.0213988,-0.0869995
27.5,0.019797,0.00832767,0.0146394,-0.0334135,0.0732623,0.0219358,-0.0872039
27.6,0.0202147,0.00836551,0.0151652,-0.0343203,0.0743896,0.0228984,-0.0887757
27.7,0.019558,0.00775488,0.0149248,-0.0341721,0.0723024,0.0225799,-0.0865383
27.8,0.0195424,0.00754349,0.0151295,-0.0345671,0.0720082,0.0230321,-0.0864309
27.9,0.0195091,0.00731605,0.0153152,-0.0349515,0.071653,0.0234551,-0.0862539
28,0.0190193,0.00683533,0.0151534,-0.0348273,0.0699173,0.0232973,-0.0844238
28.1,0.0191128,0.00668593,0.015416,-0.0352841,0.0698426,0.0238697,-0.0845868
28.2,0.0187248,0.00626759,0.0153067,-0.0352276,0.068365,0.0238091,-0.0830604
28.3,0.0188732,0.00613979,0.0155987,-0.0357448,0.0684186,0.0244395,-0.0833849
28.4,0.0189432,0.00595232,0.015828,-0.0362308,0.0682851,0.0249566,-0.0834876
28.5,0.018954,0.0057223,0.0160071,-0.0366793,0.0679958,0.025386,-0.0834047
28.6,0.0185026,0.00526596,0.015812,-0.0365594,0.0663542,0.0251755,-0.0816706
28.7,0.018626,0.00510123,0.016064,-0.037066,0.0662824,0.0257511,-0.0818596
28.8,0.0186907,0.00489044,0.0162664,-0.0375504,0.0660753,0.0262367,-0.0818864
28.9,0.0182762,0.00445765,0.0160725,-0.0374381,0.0645153,0.0260323,-0.0802436
29,0.0180038,0.00411532,0.01598,-0.0374066,0.0632663,0.0260197,-0.0789823
29.1,0.0186556,0.00416536,0.016648,-0.0385875,0.0645933,0.0273423,-0.0809301
29.2,0.0182151,0.00371655,0.0164102,-0.0384581,0.0629971,0.0270544,-0.079233
29.3,0.0183252,0.00351507,0.0166219,-0.0389782,0.0628345,0.0275743,-0.079333
29.4,0.018385,0.00328207,0.0167885,-0.0394592,0.0625478,0.0280131,-0.0792813
29.5,0.0179772,0.00286694,0.0165511,-0.0392963,0.0609924,0.0277329,-0.0776254
